"","vereda_code","vereda","bogota","santiago","tecnicafe"
"1342","41206030","la esperanza",0.76320675339333,-0.0645869196540549,0.757619042948848
"1343","41206031","la florida",0.737667781305807,-0.0952897068952137,0.751245837512165
"1344","41206032","la granja",0.77374193201653,-0.0373474510525362,0.764835130976481
"1345","41206037","la union",0.801656893674198,-0.0474120497090954,0.806006338386196
"1346","41206040","los alpes",0.784045767534076,0.0495896044698662,0.7693196889096
"1347","41206055","san isidro",0.622744902215258,0.0637730394763531,0.593394437249742
"1348","41206059","san pedro",0.506842716707306,0.110773549215655,0.487420572662175
"1349","41206060","san rafael",0.737065945272269,-0.114255204258472,0.769570614280281
"1350","41206062","santa barbara",0.638347450649994,-0.0116165855862037,0.634774886838349
"1351","41206063","santa elena",0.769478240310673,-0.0940790603497917,0.807040669880216
"1352","41244004","fatima",0.34391099270037,-0.0151922846800802,0.261185377356548
"1353","41244007","la esperanza",0.254880031685707,0.184469095576398,0.158068409525631
"1354","41244008","la palma",0.352031490147894,0.06582026268743,0.230926846459213
"1355","41298023","el paraiso",0.550140356775112,0.0760027050465684,0.503385004430552
"1356","41298027","el rosario",0.523147254657417,0.0218806710361484,0.470528395821033
"1357","41298031","fatima",0.55466877188869,0.0898681087071134,0.535288420999022
"1358","41298038","la cabana",0.561565349133366,0.112407438152764,0.532940726191873
"1359","41298040","la esmeralda",0.473161014818769,0.121249192219909,0.475304375330589
"1360","41298041","la esperanza",0.522861092476629,0.0288333277028273,0.471436269990643
"1361","41298042","la florida",0.568377415480446,0.0563081323065649,0.534384328872721
"1362","41298055","los pinos",0.508072558400171,0.0985940201474653,0.504139367358415
"1363","41298066","pan de azucar",0.557920839446846,0.0230239877299629,0.513156730006192
"1364","41298069","primavera",0.570070189963467,0.0648043795351295,0.526252752268095
"1365","41298078","san pedro",0.535350487742606,0.045230340869578,0.482983684715556
"1366","41298079","san rafael",0.560338218989979,0.125631931256858,0.521660636555281
"1367","41298091","centro",0.579899489354535,0.129542627016261,0.522637338604588
"1368","41306023","la estacion",0.619351800558031,0.159087130697078,0.590520250486012
"1369","41306027","la palma",0.712635746736736,0.104844746483248,0.655915292605957
"1370","41306032","la vega",0.63975581485257,0.100286205280313,0.577211957787733
